ship_date,Billets,MBQ,Rebar,SBQ
2008-04-01,3.8017665,56.900843,38.925538,
2008-05-01,0.8269075,49.5000335,34.079521,
2008-06-01,2.51128,54.893877,28.1500005,
2008-07-01,,64.217632,33.6092205,0.0824275
2008-08-01,,51.4869665,19.2924155,
2008-09-01,,43.902895,17.1180275,
2008-10-01,0.628155,43.341858,11.6748425,0.021508
2008-11-01,0.781364,28.480005,6.989119,
2008-12-01,1.1856435,24.0640185,19.0360495,
2009-01-01,2.478045,30.4519115,14.9034665,
2009-02-01,0.02182,23.308618,12.290419,
2009-03-01,4.686396,26.632134,12.9360285,
2009-04-01,5.64771,28.517013,16.573133,
2009-05-01,3.0311965,37.1175165,21.2107725,
2009-06-01,6.58391,34.4321825,10.467016,
2009-07-01,8.0181475,39.0242345,25.9627565,
2009-08-01,12.277053,26.7270865,13.0517075,
2009-09-01,20.693583,28.481813,11.6120545,
2009-10-01,10.6273255,28.5091615,13.6926225,
2009-11-01,12.9259455,26.731586,15.216788,
2009-12-01,9.663608,36.837857,31.6209635,
2010-01-01,6.8381705,32.4405605,22.0845915,
2010-02-01,11.4082595,27.0932045,12.974024,
2010-03-01,19.183425,36.22729,27.2259015,
2010-04-01,18.4399405,27.860065,10.4945505,
2010-05-01,12.7847555,31.4192885,10.4870855,
2010-06-01,13.9222905,33.9085805,14.2759,
2010-07-01,10.9331725,27.700866,14.2067565,
2010-08-01,9.1360395,40.607854,27.215946,
2010-09-01,7.497054,33.2741445,17.92222,
2010-10-01,8.910641,28.0517005,13.6239585,
2010-11-01,21.912478,32.163789,18.888473,
2010-12-01,27.530725,34.809374,28.920165,
2011-01-01,19.89918,38.2159585,23.4407035,
2011-02-01,18.15368,29.969338,14.0977275,
2011-03-01,32.91335,36.128621,10.8386795,0.0038915
2011-04-01,31.770843,40.3950995,10.6696935,0.008676
2011-05-01,29.786167,41.162035,9.2959255,0.025051
2011-06-01,42.7060255,41.6605355,19.2427265,0.04354
2011-07-01,21.5223125,40.6747085,15.3452475,0.0415475
2011-08-01,26.770119,52.065557,20.1638435,0.03421
2011-09-01,27.94953,51.7821945,19.524359,0.0209925
2011-10-01,23.144113,41.8237225,23.3579185,0.1142925
2011-11-01,20.19229,38.3052165,15.186315,0.023325
2011-12-01,22.337344,41.0214475,27.82425,
2012-01-01,24.43872,49.607656,20.2658315,
2012-02-01,26.374543,38.496294,16.2312885,0.023325
2012-03-01,12.398509,40.2852395,19.369614,0.023325
2012-04-01,22.061535,38.8462095,17.230838,0.0878575
2012-05-01,21.669476,43.318249,21.69417,0.0401065
2012-06-01,23.96283,39.8815625,18.269616,0.0769725
2012-07-01,30.07464,39.849822,24.0461975,
2012-08-01,20.781924,48.239669,32.9241535,0.0256575
2012-09-01,18.148525,35.0573265,17.368386,0.065585
2012-10-01,3.67789,40.121338,21.032483,0.106632
2012-11-01,8.18204,41.8078485,28.6450485,
2012-12-01,9.7862335,25.7611375,20.263534,0.080374
2013-01-01,19.200215,44.7459685,21.5918505,0.042466
2013-02-01,25.10291,41.9715535,22.2127595,0.04202
2013-03-01,21.135035,44.8864055,22.6490005,0.023325
2013-04-01,21.656275,40.977894,26.9522665,0.0898875
2013-05-01,13.27681,42.3021035,21.8299745,0.037164
2013-06-01,19.3229,35.8214535,20.346095,0.0450945
2013-07-01,9.47854,37.8658665,24.548727,0.0609415
2013-08-01,21.7529605,38.526037,20.480912,0.144469
2013-09-01,17.193156,40.0641325,17.820247,0.228651
2013-10-01,8.754345,46.2384625,25.2866435,0.2246255
2013-11-01,9.448637,43.8279255,18.1374665,0.073011
